pokedex_number,name,type1,type2,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fighting,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,percentage_male,classfication,height_m,weight_kg,capture_rate,base_egg_steps,abilities,experience_growth,base_happiness,hp,attack,defense,sp_attack,sp_defense,speed,base_total,generation,is_legendary
208,Steelix,steel,ground,0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2,50,Iron Snake Pok̩mon,9.2,400,25,6400,"['Rock Head', 'Sturdy', 'Sheer Force']",1000000,70,75,125,230,55,95,30,610,2,0
209,Snubbull,fairy,,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,24.6,Fairy Pok̩mon,0.6,7.8,190,5120,"['Intimidate', 'Run Away', 'Rattled']",800000,70,60,80,50,40,40,30,300,2,0
210,Granbull,fairy,,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,24.6,Fairy Pok̩mon,1.4,48.7,75,5120,"['Intimidate', 'Quick Feet', 'Rattled']",800000,70,90,120,75,60,60,45,450,2,0
211,Qwilfish,water,poison,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,50,Balloon Pok̩mon,0.5,3.9,45,5120,"['Poison Point', 'Swift Swim', 'Intimidate']",1000000,70,65,95,85,55,55,85,440,2,0
212,Scizor,bug,steel,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,50,Pincer Pok̩mon,1.8,118,25,6400,"['Swarm', 'Technician', 'Light Metal']",1000000,70,70,150,140,65,100,75,600,2,0
213,Shuckle,bug,rock,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,50,Mold Pok̩mon,0.6,20.5,190,5120,"['Sturdy', 'Gluttony', 'Contrary']",1059860,70,20,10,230,10,230,5,505,2,0
214,Heracross,bug,fighting,0.5,0.5,1,1,2,0.5,2,4,1,0.5,0.5,1,1,1,2,1,1,1,50,Singlehorn Pok̩mon,1.5,54,45,6400,"['Swarm', 'Guts', 'Moxie']",1250000,70,80,185,115,40,105,75,600,2,0
215,Sneasel,dark,ice,2,0.5,1,1,2,4,2,1,0.5,1,1,0.5,1,1,0,2,2,1,50,Sharp Claw Pok̩mon,0.9,28,60,5120,"['Inner Focus', 'Keen Eye', 'Pickpocket']",1059860,35,55,95,55,35,75,115,430,2,0
216,Teddiursa,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,Little Bear Pok̩mon,0.6,8.8,120,5120,"['Pickup', 'Quick Feet', 'Honey Gather']",1000000,70,60,80,50,50,50,40,330,2,0
217,Ursaring,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,Hibernator Pok̩mon,1.8,125.8,60,5120,"['Guts', 'Quick Feet', 'Unnerve']",1000000,70,90,130,75,75,75,55,500,2,0
218,Slugma,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,50,Lava Pok̩mon,0.7,35,190,5120,"['Magma Armor', 'Flame Body', 'Weak Armor']",1000000,70,40,40,40,70,40,20,250,2,0
219,Magcargo,fire,rock,0.5,1,1,1,0.5,2,0.25,0.5,1,1,4,0.5,0.5,0.5,1,2,1,4,50,Lava Pok̩mon,0.8,55,75,5120,"['Magma Armor', 'Flame Body', 'Weak Armor']",1000000,70,60,50,120,90,80,30,430,2,0
220,Swinub,ice,ground,1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,50,Pig Pok̩mon,0.4,6.5,225,5120,"['Oblivious', 'Snow Cloak', 'Thick Fat']",1250000,70,50,50,40,30,30,50,250,2,0
221,Piloswine,ice,ground,1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,50,Swine Pok̩mon,1.1,55.8,75,5120,"['Oblivious', 'Snow Cloak', 'Thick Fat']",1250000,70,100,100,80,60,60,50,450,2,0
222,Corsola,water,rock,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,24.6,Coral Pok̩mon,0.6,5,60,5120,"['Hustle', 'Natural Cure', 'Regenerator']",800000,70,65,55,95,65,95,35,410,2,0
223,Remoraid,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,Jet Pok̩mon,0.6,12,190,5120,"['Hustle', 'Sniper', 'Moody']",1000000,70,35,65,35,65,35,65,300,2,0
224,Octillery,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,Jet Pok̩mon,0.9,28.5,75,5120,"['Suction Cups', 'Sniper', 'Moody']",1000000,70,75,105,75,105,75,45,480,2,0
225,Delibird,ice,flying,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,50,Delivery Pok̩mon,0.9,16,45,5120,"['Vital Spirit', 'Hustle', 'Insomnia']",800000,70,45,55,45,65,45,75,330,2,0
226,Mantine,water,flying,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,50,Kite Pok̩mon,2.1,220,25,6400,"['Swift Swim', 'Water Absorb', 'Water Veil']",1250000,70,85,40,70,80,140,70,485,2,0
227,Skarmory,steel,flying,0.25,1,0.5,2,0.5,1,2,0.5,1,0.25,0,1,0.5,0,0.5,1,0.5,1,50,Armor Bird Pok̩mon,1.7,50.5,25,6400,"['Keen Eye', 'Sturdy', 'Weak Armor']",1250000,70,65,80,140,40,70,70,465,2,0
228,Houndour,dark,fire,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,50,Dark Pok̩mon,0.6,10.8,120,5120,"['Early Bird', 'Flash Fire', 'Unnerve']",1250000,35,45,60,30,80,50,65,330,2,0
229,Houndoom,dark,fire,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,50,Dark Pok̩mon,1.4,35,45,5120,"['Early Bird', 'Flash Fire', 'Unnerve']",1250000,35,75,90,90,140,90,115,600,2,0
230,Kingdra,water,dragon,1,1,2,1,2,1,0.25,1,1,1,1,1,1,1,1,1,0.5,0.25,50,Dragon Pok̩mon,1.8,152,45,5120,"['Swift Swim', 'Sniper', 'Damp']",1000000,70,75,95,95,95,95,85,540,2,0
231,Phanpy,ground,,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,Long Nose Pok̩mon,0.5,33.5,120,5120,"['Pickup', 'Sand Veil']",1000000,70,90,60,60,40,40,40,330,2,0
232,Donphan,ground,,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,Armor Pok̩mon,1.1,120,60,5120,"['Sturdy', 'Sand Veil']",1000000,70,90,120,120,60,60,50,500,2,0
233,Porygon2,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,,Virtual Pok̩mon,0.6,32.5,45,5120,"['Trace', 'Download', 'Analytic']",1000000,70,85,80,90,105,95,60,515,2,0
234,Stantler,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,Big Horn Pok̩mon,1.4,71.2,45,5120,"['Intimidate', 'Frisk', 'Sap Sipper']",1250000,70,73,95,62,85,65,85,465,2,0
235,Smeargle,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,Painter Pok̩mon,1.2,58,45,5120,"['Own Tempo', 'Technician', 'Moody']",800000,70,55,20,35,20,45,75,250,2,0
236,Tyrogue,fighting,,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,100,Scuffle Pok̩mon,0.7,21,75,6400,"['Guts', 'Steadfast', 'Vital Spirit']",1000000,70,35,35,35,35,35,35,210,2,0
237,Hitmontop,fighting,,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,100,Handstand Pok̩mon,1.4,48,45,6400,"['Intimidate', 'Technician', 'Steadfast']",1000000,70,50,95,95,35,110,70,455,2,0
238,Smoochum,ice,psychic,2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,0,Kiss Pok̩mon,0.4,6,45,6400,"['Oblivious', 'Forewarn', 'Hydration']",1000000,70,45,30,15,85,65,65,305,2,0
239,Elekid,electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,75.4,Electric Pok̩mon,0.6,23.5,45,6400,"['Static', 'Vital Spirit']",1000000,70,45,63,37,65,55,95,360,2,0
240,Magby,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,75.4,Live Coal Pok̩mon,0.7,21.4,45,6400,"['Flame Body', 'Vital Spirit']",1000000,70,45,75,37,70,55,83,365,2,0
241,Miltank,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,0,Milk Cow Pok̩mon,1.2,75.5,45,5120,"['Thick Fat', 'Scrappy', 'Sap Sipper']",1250000,70,95,80,105,40,70,100,490,2,0
242,Blissey,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,0,Happiness Pok̩mon,1.5,46.8,30,10240,"['Natural Cure', 'Serene Grace', 'Healer']",800000,140,255,10,10,75,135,55,540,2,0
243,Raikou,electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,,Thunder Pok̩mon,1.9,178,3,20480,"['Pressure', 'Inner Focus']",1250000,35,90,85,75,115,100,115,580,2,1
244,Entei,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,,Volcano Pok̩mon,2.1,198,3,20480,"['Pressure', 'Inner Focus']",1250000,35,115,115,85,90,75,100,580,2,1
245,Suicune,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,,Aurora Pok̩mon,2,187,3,20480,"['Pressure', 'Inner Focus']",1250000,35,100,75,115,90,115,85,580,2,1
246,Larvitar,rock,ground,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,50,Rock Skin Pok̩mon,0.6,72,45,10240,"['Guts', 'Sand Veil']",1250000,35,50,64,50,45,50,41,300,2,0
247,Pupitar,rock,ground,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,50,Hard Shell Pok̩mon,1.2,152,45,10240,['Shed Skin'],1250000,35,70,84,70,65,70,51,410,2,0
248,Tyranitar,rock,dark,2,0.5,1,1,2,4,0.5,0.5,0.5,2,2,1,0.5,0.5,0,1,2,2,50,Armor Pok̩mon,2,202,45,10240,"['Sand Stream', 'Unnerve']",1250000,35,100,164,150,95,120,71,700,2,0
249,Lugia,psychic,flying,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,,Diving Pok̩mon,5.2,216,3,30720,"['Pressure', 'Multiscale']",1250000,0,106,90,130,90,154,110,680,2,1
250,Ho-Oh,fire,flying,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,,Rainbow Pok̩mon,3.8,199,3,30720,"['Pressure', 'Regenerator']",1250000,0,106,130,90,110,154,90,680,2,1
251,Celebi,psychic,grass,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,,Time Travel Pok̩mon,0.6,5,45,30720,['Natural Cure'],1059860,100,100,100,100,100,100,100,600,2,1
252,Treecko,grass,,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,88.1,Wood Gecko Pok̩mon,0.5,5,45,5120,"['Overgrow', 'Unburden']",1059860,70,40,45,35,65,55,70,310,3,0
253,Grovyle,grass,,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,88.1,Wood Gecko Pok̩mon,0.9,21.6,45,5120,"['Overgrow', 'Unburden']",1059860,70,50,65,45,85,65,95,405,3,0
254,Sceptile,grass,,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,88.1,Forest Pok̩mon,1.7,52.2,45,5120,"['Overgrow', 'Unburden']",1059860,70,70,110,75,145,85,145,630,3,0
255,Torchic,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,88.1,Chick Pok̩mon,0.4,2.5,45,5120,"['Blaze', 'Speed Boost']",1059860,70,45,60,40,70,50,45,310,3,0
256,Combusken,fire,fighting,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,88.1,Young Fowl Pok̩mon,0.9,19.5,45,5120,"['Blaze', 'Speed Boost']",1059860,70,60,85,60,85,60,55,405,3,0
257,Blaziken,fire,fighting,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,88.1,Blaze Pok̩mon,1.9,52,45,5120,"['Blaze', 'Speed Boost']",1059860,70,80,160,80,130,80,100,630,3,0
258,Mudkip,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,88.1,Mud Fish Pok̩mon,0.4,7.6,45,5120,"['Torrent', 'Damp']",1059860,70,50,70,50,50,50,40,310,3,0
259,Marshtomp,water,ground,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,88.1,Mud Fish Pok̩mon,0.7,28,45,5120,"['Torrent', 'Damp']",1059860,70,70,85,70,60,70,50,405,3,0
260,Swampert,water,ground,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,88.1,Mud Fish Pok̩mon,1.5,81.9,45,5120,"['Torrent', 'Damp']",1059860,70,100,150,110,95,110,70,635,3,0
261,Poochyena,dark,,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,50,Bite Pok̩mon,0.5,13.6,255,3840,"['Run Away', 'Quick Feet', 'Rattled']",1000000,70,35,55,35,30,30,35,220,3,0
262,Mightyena,dark,,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,50,Bite Pok̩mon,1,37,127,3840,"['Intimidate', 'Quick Feet', 'Moxie']",1000000,70,70,90,70,60,60,70,420,3,0
263,Zigzagoon,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,Tiny Racoon Pok̩mon,0.4,17.5,255,3840,"['Pickup', 'Gluttony', 'Quick Feet']",1000000,70,38,30,41,30,41,60,240,3,0
264,Linoone,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,Rush Pok̩mon,0.5,32.5,90,3840,"['Pickup', 'Gluttony', 'Quick Feet']",1000000,70,78,70,61,50,61,100,420,3,0
265,Wurmple,bug,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,50,Worm Pok̩mon,0.3,3.6,255,3840,"['Shield Dust', 'Run Away']",1000000,70,45,45,35,20,30,20,195,3,0
266,Silcoon,bug,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,50,Cocoon Pok̩mon,0.6,10,120,3840,['Shed Skin'],1000000,70,50,35,55,25,25,15,205,3,0
267,Beautifly,bug,flying,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,50,Butterfly Pok̩mon,1,28.4,45,3840,"['Swarm', 'Rivalry']",1000000,70,60,70,50,100,50,65,395,3,0
268,Cascoon,bug,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,50,Cocoon Pok̩mon,0.7,11.5,120,3840,['Shed Skin'],1000000,70,50,35,55,25,25,15,205,3,0
269,Dustox,bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,50,Poison Moth Pok̩mon,1.2,31.6,45,3840,"['Shield Dust', 'Compoundeyes']",1000000,70,60,50,70,50,90,65,385,3,0
270,Lotad,water,grass,2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,50,Water Weed Pok̩mon,0.5,2.6,255,3840,"['Swift Swim', 'Rain Dish', 'Own Tempo']",1059860,70,40,30,30,40,50,30,220,3,0
271,Lombre,water,grass,2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,50,Jolly Pok̩mon,1.2,32.5,120,3840,"['Swift Swim', 'Rain Dish', 'Own Tempo']",1059860,70,60,50,50,60,70,50,340,3,0
272,Ludicolo,water,grass,2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,50,Carefree Pok̩mon,1.5,55,45,3840,"['Swift Swim', 'Rain Dish', 'Own Tempo']",1059860,70,80,70,70,90,100,70,480,3,0
273,Seedot,grass,,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,50,Acorn Pok̩mon,0.5,4,255,3840,"['Chlorophyll', 'Early Bird', 'Pickpocket']",1059860,70,40,40,50,30,30,30,220,3,0
274,Nuzleaf,grass,dark,4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5,50,Wily Pok̩mon,1,28,120,3840,"['Chlorophyll', 'Early Bird', 'Pickpocket']",1059860,70,70,70,40,60,40,60,340,3,0
275,Shiftry,grass,dark,4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5,50,Wickid Pok̩mon,1.3,59.6,45,3840,"['Chlorophyll', 'Early Bird', 'Pickpocket']",1059860,70,90,100,60,90,60,80,480,3,0
276,Taillow,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,TinySwallow Pok̩mon,0.3,2.3,200,3840,"['Guts', 'Scrappy']",1059860,70,40,55,30,30,30,85,270,3,0
277,Swellow,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,Swallow Pok̩mon,0.7,19.8,45,3840,"['Guts', 'Scrappy']",1059860,70,60,85,60,75,50,125,455,3,0
278,Wingull,water,flying,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,50,Seagull Pok̩mon,0.6,9.5,190,5120,"['Keen Eye', 'Hydration', 'Rain Dish']",1000000,70,40,30,30,55,30,85,270,3,0
279,Pelipper,water,flying,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,50,Water Bird Pok̩mon,1.2,28,45,5120,"['Keen Eye', 'Drizzle', 'Rain Dish']",1000000,70,60,50,100,95,70,65,440,3,0
280,Ralts,psychic,fairy,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,50,Feeling Pok̩mon,0.4,6.6,235,5120,"['Synchronize', 'Trace', 'Telepathy']",1250000,35,28,25,25,45,35,40,198,3,0
281,Kirlia,psychic,fairy,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,50,Emotion Pok̩mon,0.8,20.2,120,5120,"['Synchronize', 'Trace', 'Telepathy']",1250000,35,38,35,35,65,55,50,278,3,0
282,Gardevoir,psychic,fairy,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,50,Embrace Pok̩mon,1.6,48.4,45,5120,"['Synchronize', 'Trace', 'Telepathy']",1250000,35,68,85,65,165,135,100,618,3,0
283,Surskit,bug,water,1,1,1,2,1,0.5,1,2,1,1,0.5,0.5,1,1,1,2,0.5,0.5,50,Pond Skater Pok̩mon,0.5,1.7,200,3840,"['Swift Swim', 'Rain Dish']",1000000,70,40,30,32,50,52,65,269,3,0
284,Masquerain,bug,flying,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,50,Eyeball Pok̩mon,0.8,3.6,75,3840,"['Intimidate', 'Unnerve']",1000000,70,70,60,62,100,82,80,454,3,0
285,Shroomish,grass,,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,50,Mushroom Pok̩mon,0.4,4.5,255,3840,"['Effect Spore', 'Poison Heal', 'Quick Feet']",1640000,70,60,40,60,40,60,35,295,3,0
286,Breloom,grass,fighting,1,0.5,1,0.5,2,1,2,4,1,0.5,0.5,2,1,2,2,0.5,1,0.5,50,Mushroom Pok̩mon,1.2,39.2,90,3840,"['Effect Spore', 'Poison Heal', 'Technician']",1640000,70,60,130,80,60,60,70,460,3,0
287,Slakoth,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,Slacker Pok̩mon,0.8,24,255,3840,['Truant'],1250000,70,60,60,60,35,35,30,280,3,0
288,Vigoroth,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,Wild Monkey Pok̩mon,1.4,46.5,120,3840,['Vital Spirit'],1250000,70,80,80,80,55,55,90,440,3,0
289,Slaking,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,Lazy Pok̩mon,2,130.5,45,3840,['Truant'],1250000,70,150,160,100,95,65,100,670,3,0
290,Nincada,bug,ground,1,1,1,0,1,0.5,2,2,1,1,0.5,2,1,0.5,1,1,1,2,50,Trainee Pok̩mon,0.5,5.5,255,3840,"['Compoundeyes', 'Run Away']",600000,70,31,45,90,30,30,40,266,3,0
291,Ninjask,bug,flying,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,50,Ninja Pok̩mon,0.8,12,120,3840,"['Speed Boost', 'Infiltrator']",600000,70,61,90,45,50,50,160,456,3,0
292,Shedinja,bug,ghost,0.5,2,1,1,1,0,2,2,2,0.5,0.5,1,0,0.5,1,2,1,1,,Shed Pok̩mon,0.8,1.2,45,3840,['Wonder Guard'],600000,70,1,90,45,30,30,40,236,3,0
293,Whismur,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,Whisper Pok̩mon,0.6,16.3,190,5120,"['Soundproof', 'Rattled']",1059860,70,64,51,23,51,23,28,240,3,0
294,Loudred,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,Big Voice Pok̩mon,1,40.5,120,5120,"['Soundproof', 'Scrappy']",1059860,70,84,71,43,71,43,48,360,3,0
295,Exploud,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,Loud Noise Pok̩mon,1.5,84,45,5120,"['Soundproof', 'Scrappy']",1059860,70,104,91,63,91,73,68,490,3,0
296,Makuhita,fighting,,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,75.4,Guts Pok̩mon,1,86.4,180,5120,"['Thick Fat', 'Guts', 'Sheer Force']",1640000,70,72,60,30,20,30,25,237,3,0
297,Hariyama,fighting,,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,75.4,Arm Thrust Pok̩mon,2.3,253.8,200,5120,"['Thick Fat', 'Guts', 'Sheer Force']",1640000,70,144,120,60,40,60,50,474,3,0
298,Azurill,normal,fairy,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,24.6,Polka Dot Pok̩mon,0.2,2,150,2560,"['Thick Fat', 'Huge Power', 'Sap Sipper']",800000,70,50,20,40,20,40,20,190,3,0
299,Nosepass,rock,,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,50,Compass Pok̩mon,1,97,255,5120,"['Sturdy', 'Magnet Pull', 'Sand Force']",1000000,70,30,45,135,45,90,30,375,3,0
300,Skitty,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,24.6,Kitten Pok̩mon,0.6,11,255,3840,"['Cute Charm', 'Normalize', 'Wonder Skin ']",800000,70,50,45,45,35,35,50,260,3,0
301,Delcatty,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,24.6,Prim Pok̩mon,1.1,32.6,60,3840,"['Cute Charm', 'Normalize', 'Wonder Skin ']",800000,70,70,65,65,55,55,90,400,3,0
302,Sableye,dark,ghost,1,1,1,1,2,0,1,1,1,1,1,1,0,0.5,0,1,1,1,50,Darkness Pok̩mon,0.5,11,45,6400,"['Keen Eye', 'Stall', 'Prankster']",1059860,35,50,85,125,85,115,20,480,3,0
303,Mawile,steel,fairy,0.25,0.5,0,1,0.5,1,2,0.5,1,0.5,2,0.5,0.5,0,0.5,0.5,1,1,50,Deceiver Pok̩mon,0.6,11.5,45,5120,"['Hyper Cutter', 'Intimidate', 'Sheer Force']",800000,70,50,105,125,55,95,50,480,3,0
304,Aron,steel,rock,0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2,50,Iron Armor Pok̩mon,0.4,60,180,8960,"['Sturdy', 'Rock Head', 'Heavy Metal']",1250000,35,50,70,100,40,40,30,330,3,0
305,Lairon,steel,rock,0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2,50,Iron Armor Pok̩mon,0.9,120,90,8960,"['Sturdy', 'Rock Head', 'Heavy Metal']",1250000,35,60,90,140,50,50,40,430,3,0
306,Aggron,steel,rock,0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2,50,Iron Armor Pok̩mon,2.1,360,45,8960,"['Sturdy', 'Rock Head', 'Heavy Metal']",1250000,35,70,140,230,60,80,50,630,3,0
307,Meditite,fighting,psychic,1,1,1,1,2,0.5,1,2,2,1,1,1,1,1,1,0.5,1,1,50,Meditate Pok̩mon,0.6,11.2,180,5120,"['Pure Power', 'Telepathy']",1000000,70,30,40,55,40,55,60,280,3,0
308,Medicham,fighting,psychic,1,1,1,1,2,0.5,1,2,2,1,1,1,1,1,1,0.5,1,1,50,Meditate Pok̩mon,1.3,31.5,90,5120,"['Pure Power', 'Telepathy']",1000000,70,60,100,85,80,85,100,510,3,0
309,Electrike,electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,50,Lightning Pok̩mon,0.6,15.2,120,5120,"['Static', 'Lightningrod', 'Minus']",1250000,70,40,45,40,65,40,65,295,3,0
310,Manectric,electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,50,Discharge Pok̩mon,1.5,40.2,45,5120,"['Static', 'Lightningrod', 'Minus']",1250000,70,70,75,80,135,80,135,575,3,0
311,Plusle,electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,50,Cheering Pok̩mon,0.4,4.2,200,5120,"['Plus', 'Lightningrod']",1000000,70,60,50,40,85,75,95,405,3,0
312,Minun,electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,50,Cheering Pok̩mon,0.4,4.2,200,5120,"['Minus', 'Volt Absorb']",1000000,70,60,40,50,75,85,95,405,3,0
313,Volbeat,bug,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,100,Firefly Pok̩mon,0.7,17.7,150,3840,"['Illuminate', 'Swarm', 'Prankster']",600000,70,65,73,75,47,85,85,430,3,0
314,Illumise,bug,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,0,Firefly Pok̩mon,0.6,17.7,150,3840,"['Oblivious', 'Tinted Lens', 'Prankster']",1640000,70,65,47,75,73,85,85,430,3,0
